City_ID,Name,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,kikwit,CD,2022-06-03 01:44:52,-5.041,18.8162,70.66,72,31,1.7
213,natalio,PY,2022-06-03 01:44:53,-26.7167,-55.0833,51.13,86,97,3.58
214,ponta delgada,PT,2022-06-03 01:35:56,37.7333,-25.6667,67.5,94,75,6.91
215,el tigre,VE,2022-06-03 01:44:53,8.8875,-64.2454,75.09,80,100,12.88
216,charlestown,AU,2022-06-03 01:44:53,-32.95,151.6667,62.11,71,90,3.0
217,kholmogory,RU,2022-06-03 01:44:54,64.2229,41.656,61.59,78,94,5.68
218,inhambane,MZ,2022-06-03 01:35:55,-23.865,35.3833,67.77,81,40,7.56
219,san felipe,VE,2022-06-03 01:44:54,10.3399,-68.7425,71.85,98,75,2.8
220,pimentel,PE,2022-06-03 01:44:55,-6.8367,-79.9342,64.09,82,64,10.8
221,kortkeros,RU,2022-06-03 01:44:55,61.8106,51.5806,55.4,59,10,7.96
222,henties bay,NA,2022-06-03 01:44:55,-22.116,14.2845,69.73,35,64,13.82
223,sault sainte marie,CA,2022-06-03 01:32:03,46.5168,-84.3333,62.89,44,0,9.22
224,hurghada,EG,2022-06-03 01:44:56,27.2574,33.8129,80.64,22,0,6.91
225,malanje,AO,2022-06-03 01:44:56,-9.5402,16.341,56.79,56,5,5.79
226,saint-georges,GD,2022-06-03 01:33:42,12.0564,-61.7485,78.48,89,40,11.5
227,shakhtinsk,KZ,2022-06-03 01:44:57,49.71,72.5872,63.14,38,8,8.57
228,olafsvik,IS,2022-06-03 01:36:49,64.8945,-23.7142,46.65,85,100,11.83
229,maharajganj,IN,2022-06-03 01:44:57,27.1333,83.5667,94.23,42,20,12.59
230,mana,GF,2022-06-03 01:41:02,5.6592,-53.7767,76.23,90,100,7.47
231,gat,IL,2022-06-03 01:40:05,31.61,34.7642,74.39,72,0,0.63
232,mossendjo,CG,2022-06-03 01:44:58,-2.9506,12.7261,67.5,97,24,0.98
233,bloomington,US,2022-06-03 01:44:58,44.8408,-93.2983,72.95,29,20,14.97
234,beyneu,KZ,2022-06-03 01:34:58,45.3167,55.2,70.09,26,2,4.38
235,entre rios,BR,2022-06-03 01:44:46,-11.9419,-38.0844,69.4,99,77,3.85
236,malkangiri,IN,2022-06-03 01:44:59,18.35,81.9,92.46,42,54,2.86
237,amarante do maranhao,BR,2022-06-03 01:44:59,-5.5667,-46.7422,71.44,94,84,2.24
238,comodoro rivadavia,AR,2022-06-03 01:45:00,-45.8667,-67.5,37.26,60,0,5.75
239,turochak,RU,2022-06-03 01:45:01,52.2576,87.1224,55.45,61,100,7.07
240,grand gaube,MU,2022-06-03 01:40:53,-20.0064,57.6608,73.8,73,20,1.99
241,pala,TD,2022-06-03 01:45:01,9.3642,14.9046,76.35,62,86,5.93
242,ereymentau,KZ,2022-06-03 01:45:02,51.6199,73.1033,62.56,44,69,10.22
243,port-gentil,GA,2022-06-03 01:39:33,-0.7193,8.7815,75.33,89,97,9.42
244,callaway,US,2022-06-03 01:45:03,30.153,-85.5699,80.53,79,20,6.91
245,havre-saint-pierre,CA,2022-06-03 01:45:03,50.2334,-63.5986,55.76,54,75,14.97
246,harindanga,IN,2022-06-03 01:45:04,22.0383,88.3214,88.88,67,100,17.67
247,vila franca do campo,PT,2022-06-03 01:45:04,37.7167,-25.4333,67.19,90,88,2.84
248,sept-iles,CA,2022-06-03 01:36:03,50.2001,-66.3821,54.05,67,20,4.61
249,leua,SK,2022-06-03 01:45:05,48.2156,18.6071,58.23,75,29,5.99
250,buraydah,SA,2022-06-03 01:45:06,26.326,43.975,79.25,11,0,9.08
251,kaspiysk,RU,2022-06-03 01:37:06,42.8816,47.6392,59.18,72,0,6.71
252,moose factory,CA,2022-06-03 01:41:47,51.2585,-80.6094,59.0,58,0,9.22
253,krasnystaw,PL,2022-06-03 01:45:07,50.9846,23.1742,45.86,88,1,1.19
254,nushki,PK,2022-06-03 01:44:40,29.5542,66.0215,75.76,10,0,3.91
255,ostrovnoy,RU,2022-06-03 01:41:17,68.0531,39.5131,43.75,71,100,18.1
256,vestmannaeyjar,IS,2022-06-03 01:35:51,63.4427,-20.2734,48.2,72,100,5.64
257,van,TR,2022-06-03 01:42:20,38.4924,43.3831,63.75,45,0,4.61
258,stephenville,US,2022-06-03 01:45:08,32.2207,-98.2023,78.93,62,100,4.61
259,volkach,DE,2022-06-03 01:45:09,49.8667,10.2333,56.34,71,98,4.18
260,timra,SE,2022-06-03 01:45:09,62.487,17.3257,53.28,82,100,3.44
261,pindobacu,BR,2022-06-03 01:45:10,-10.7417,-40.3608,70.0,96,97,5.23
262,segezha,RU,2022-06-03 01:45:10,63.7415,34.3222,49.68,98,100,6.11
263,san ramon,US,2022-06-03 01:45:10,37.7799,-121.978,77.38,55,0,16.11
264,rjukan,NO,2022-06-03 01:45:11,59.8789,8.5941,47.05,83,100,6.35
265,kavaratti,IN,2022-06-03 01:45:11,10.5669,72.642,83.55,75,92,14.79
266,bayeux,BR,2022-06-03 01:45:11,-7.125,-34.9322,75.83,94,75,0.0
267,hvolsvollur,IS,2022-06-03 01:45:12,63.7533,-20.2243,46.13,79,100,4.61
268,umm lajj,SA,2022-06-03 01:45:12,25.0213,37.2685,81.61,58,3,12.21
269,muzhi,RU,2022-06-03 01:45:12,65.3667,64.6667,35.35,49,14,15.84
270,koungou,YT,2022-06-03 01:45:13,-12.7336,45.2042,78.51,73,75,18.41
271,placido de castro,BR,2022-06-03 01:45:13,-10.3353,-67.1856,72.5,97,100,2.33
272,opuwo,NA,2022-06-03 01:45:13,-18.0607,13.84,55.04,39,5,12.39
273,buchanan,LR,2022-06-03 01:45:14,5.8808,-10.0467,77.99,87,86,4.14
274,kruisfontein,ZA,2022-06-03 01:45:14,-34.0033,24.7314,48.47,88,0,6.35
275,tukrah,LY,2022-06-03 01:45:14,32.5341,20.5791,71.28,72,0,5.86
276,nikolskoye,RU,2022-06-03 01:45:15,59.7035,30.7861,52.72,93,100,4.32
277,nangomba,TZ,2022-06-03 01:45:15,-10.9,38.5,59.23,87,4,4.34
278,encruzilhada do sul,BR,2022-06-03 01:45:16,-30.5439,-52.5219,36.97,96,0,4.45
279,yertarskiy,RU,2022-06-03 01:45:16,56.7902,64.2995,51.28,65,100,8.75
280,wagar,SD,2022-06-03 01:40:45,16.1525,36.2032,86.59,15,0,4.27
281,bardstown,US,2022-06-03 01:45:17,37.8092,-85.4669,73.2,83,0,0.0
282,upata,VE,2022-06-03 01:40:34,8.0086,-62.3989,73.18,97,100,4.61
283,trairi,BR,2022-06-03 01:40:28,-3.2778,-39.2689,74.25,94,100,5.73
284,saint austell,GB,2022-06-03 01:45:17,50.3383,-4.7658,54.16,76,13,3.44
285,formosa do rio preto,BR,2022-06-03 01:45:17,-11.0483,-45.1931,70.54,48,18,2.57
286,kadoma,JP,2022-06-03 01:45:18,34.7333,135.5833,80.65,43,20,8.05
287,saint-pierre,RE,2022-06-03 01:35:38,-21.3393,55.4781,69.48,64,75,4.61
288,campos,BR,2022-06-03 01:44:45,-21.75,-41.3,69.85,96,56,7.96
289,ilheus,BR,2022-06-03 01:45:18,-14.7889,-39.0494,73.22,94,0,3.44
290,agadez,NE,2022-06-03 01:45:19,19.75,10.25,81.25,11,0,10.94
291,nuuk,GL,2022-06-03 01:35:27,64.1835,-51.7216,45.21,49,20,6.91
292,sibiti,CG,2022-06-03 01:45:19,-3.6819,13.3499,68.18,95,35,1.16
293,gbarnga,LR,2022-06-03 01:40:44,6.9956,-9.4722,71.37,99,53,2.28
294,cardoso,BR,2022-06-03 01:45:20,-20.0819,-49.9142,71.89,68,100,5.41
295,brazzaville,CG,2022-06-03 01:45:20,-4.2658,15.2832,75.74,71,7,0.98
296,nantucket,US,2022-06-03 01:43:44,41.2835,-70.0995,59.14,90,100,4.61
297,cayenne,GF,2022-06-03 01:31:18,4.9333,-52.3333,79.09,1,100,0.0
298,saint anthony,US,2022-06-03 01:45:22,45.0205,-93.218,72.55,27,0,17.27
299,kedougou,SN,2022-06-03 01:45:22,12.5579,-12.1743,80.33,70,100,7.29
